ID,Type,count
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,45
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,46
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,45
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,60
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,59
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,6
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,6
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,6
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,6
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,6
