ID,Count,group
SRR25023039_1_val_1_bismark_bt2_pe.bam,34,controls
SRR25023040_1_val_1_bismark_bt2_pe.bam,35,controls
SRR25023041_1_val_1_bismark_bt2_pe.bam,25,controls
SRR25023042_1_val_1_bismark_bt2_pe.bam,26,controls
SRR25023043_1_val_1_bismark_bt2_pe.bam,20,controls
SRR25023301_1_val_1_bismark_bt2_pe.bam,27,cases
SRR25023302_1_val_1_bismark_bt2_pe.bam,43,cases
SRR25023303_1_val_1_bismark_bt2_pe.bam,30,cases
SRR25023304_1_val_1_bismark_bt2_pe.bam,19,cases
SRR25023305_1_val_1_bismark_bt2_pe.bam,23,cases
